"","Sample.1","Sample.2","Sample.3","Sample.4","Sample.5","Sample.6","Sample.7","Sample.8","Sample.9","Sample.10","Sample.11","Sample.12","Sample.13","Sample.14","Sample.15","Sample.16","Sample.17","Sample.18","Sample.19","Sample.20","Sample.21","Sample.22","Sample.23","Sample.24","Sample.25","Sample.26","Sample.27","Sample.28","Sample.29","Sample.30","Sample.31","Sample.32","Sample.33","Sample.34","Sample.35","Sample.36","Sample.37","Sample.38","Sample.39","Sample.40"
"sp|A0M8Q6|LAC7_HUMAN",111550.2383,9203.457829,66725.48566,59910.88459,164221.5117,9143.972681,6409900.993,12387.85348,7809.981237,45539.75931,55931.50357,35016.54954,32546.34611,56644.30637,18391.96492,3113174.986,13209.36699,19826.61211,4225820.852,168274.9615,2277251.683,6397863.195,3189287.117,3628607.817,4121755.289,142676.0918,4140671.913,180247.5324,5826897.385,3381949.796,9161570.366,4993860.937,4057250.495,5820280.689,165452.7078,7598434.676,5034978.322,7395054.782,180143.2685,5142439.965
"sp|B9A064|IGLL5_HUMAN",6555986.552,7765068.838,9187741.196,7691362.406,14987756.13,13741157.8,8230957.829,8681886.238,9058707.275,8188822.161,2531991.14,3934526.205,1700101.839,4418838.109,5584636.034,3334235.863,3871054.529,3312348.082,4053520.354,4567918.43,9331017.22,10557921.62,6857038.425,8977857.795,9036241.452,14600435.61,10900762.66,11780514.61,9930734.58,8223536.905,14982033.89,8805436.91,12747422.25,10750308.38,17005220.71,6744077.722,7680128.987,11003289.25,13396145.78,12638802.94
"sp|O14791|APOL1_HUMAN",10011214.38,6967988.577,8196725.421,7793771.502,4469132.345,234426.7583,10721760.34,217810.7517,162619.9964,288470.8705,8933724.013,812346.3526,819827.0222,485840.2946,638289.9659,5737175.307,7894232.252,7794366.059,337326.447,821796.4863,1036516.969,826893.5905,886915.189,1007502.846,912717.7886,1089385.603,727134.097,1024629.028,535929.1698,721123.5622,1045996.828,775103.8985,1542276.293,5595462.391,7846051.827,892589.6441,9891834.873,590688.2811,6847769.618,8326700.082
"sp|O43866|CD5L_HUMAN",81595.05667,620464.6049,156763.4585,203854.6316,110930.1037,287747.0457,69979.66524,201981.1133,111816.7532,138801.4046,1591099.772,830490.8939,1683988.321,836993.6935,1024494.048,1487672.45,889691.4308,691155.8664,783409.1296,1137165.985,1474771.556,3229526.708,542255.9278,714333.3921,1521901.598,907695.6086,937306.0955,1809988.726,1370390.329,1413560.72,1305124.413,567463.1045,1575207.553,1157816.562,1490698.564,2547516.696,1312258.657,919223.1797,1459847.993,1530764.41
"sp|O75636|FCN3_HUMAN",255921.7401,397903.7724,351391.0129,311765.3531,352380.2165,416404.327,166162.709,159201.4201,360034.6175,401916.3039,626999.4663,430995.4621,526450.1248,382740.8096,461213.955,407017.5333,447071.5516,438588.5055,204663.5288,389966.4863,398368.8073,440884.7651,389504.0031,488061.3867,371551.1909,280102.6274,484068.3427,435277.6285,384481.2771,488193.6323,248632.3065,314255.0162,209721.9874,209197.7312,380238.4788,228219.301,283408.4013,253680.5108,207351.3162,290369.3711
"sp|O75882|ATRN_HUMAN",176753.2368,155830.6898,131684.031,185780.8022,211256.4649,222450.9864,141098.6132,187061.9636,145421.1607,177130.2074,210326.85,159735.1263,195481.9646,148045.8212,217880.2818,242449.7291,144472.7699,214826.43,135521.4339,171973.0917,218598.1027,266870.0504,207991.4805,413770.3059,205805.2478,197050.2732,190564.1596,231927.6282,214314.7808,216969.9267,131123.348,158421.8072,188790.5369,139064.841,184319.7975,144570.8008,220090.4059,163019.3451,164428.2109,168946.768
"sp|O95445|APOM_HUMAN",1020016.774,2250938.867,1349442.603,961774.3648,1058481.935,1818462.501,1528317.901,1818339.45,2021296.325,2281482.809,2892953.202,1650582.786,3291865.533,2130070.018,3015864.308,2538537.871,1714517.621,2612111.031,1372180.387,1699907.465,1902993.798,2084266.682,2146561.483,1596101.608,2170205.505,2027061.554,1920461.698,1258234.355,2237601.398,1855274.122,1332294.993,1612966.089,1673819.473,1480444.598,1488056.354,1407063.532,1620413.685,1070757.402,1341938.604,1671401.258
"sp|P00450|CERU_HUMAN",11827291.68,18218006.53,25112956.16,37280211.12,15430159.24,19854023.38,21956370.61,26993023.57,21815239.47,12321129.16,39568932.9,44665366.78,39737722.85,33892344.62,37340181.61,38902645.82,32348114.37,34863180.41,30866112.22,51647486.96,46445039.88,49552054.34,51975023.22,50202979.38,41243884.96,32036563.35,50052622.75,52920724.79,41461619.99,50978682.27,27688205.02,28659576.81,61515786.15,29756748.53,61578056.9,27064548.23,23493409.96,24712499.99,18627158.72,51522335.56
"sp|P00734|THRB_HUMAN",5268991.392,10803450.89,10637949.18,8633835.197,5519105.931,10548383.52,5367526.066,11298120.41,11551378.19,10377679.59,18193729.22,10863060.15,15169868.95,11081483.41,15803128.34,13729887.64,9926703.59,12903566.07,13020166.31,13803080.8,12342595.78,13857045.91,14725685.27,17252228.55,13786232.27,10829176.12,14985882.83,17087666.8,12926538.24,16729620.43,12942195.1,11141199.38,12798244.82,11258670.55,13620893.2,10439945.53,9277012.496,12998055.43,9421021.263,12537074.47
"sp|P00736|C1R_HUMAN",714703.6159,659098.2743,709550.4542,911116.2865,756747.5901,1142857.316,713979.3249,944130.1325,932780.9,608530.0272,471048.9688,609414.5455,698522.7636,589287.6147,812381.6511,746494.029,817670.4838,711005.4768,778673.2763,729876.4895,817814.1545,608798.0551,843284.0874,886444.8852,909586.7576,756094.5424,687608.4634,902629.3462,580704.6068,671117.9665,541908.7366,527956.3992,1007442.468,680588.9765,711182.075,584148.4535,512610.0605,737181.4754,434514.01,755199.7862
