"","adult","control","lessone","onetofive"
"Sample.1",0,1,0,0
"Sample.2",0,1,0,0
"Sample.3",0,1,0,0
"Sample.4",0,1,0,0
"Sample.5",0,1,0,0
"Sample.6",0,1,0,0
"Sample.7",0,1,0,0
"Sample.8",0,1,0,0
"Sample.9",0,1,0,0
"Sample.10",0,1,0,0
"Sample.11",0,0,1,0
"Sample.12",0,0,1,0
"Sample.13",0,0,1,0
"Sample.14",0,0,1,0
"Sample.15",0,0,1,0
"Sample.16",0,0,1,0
"Sample.17",0,0,1,0
"Sample.18",0,0,1,0
"Sample.19",0,0,1,0
"Sample.20",0,0,1,0
"Sample.21",0,0,0,1
"Sample.22",0,0,0,1
"Sample.23",0,0,0,1
"Sample.24",0,0,0,1
"Sample.25",0,0,0,1
"Sample.26",0,0,0,1
"Sample.27",0,0,0,1
"Sample.28",0,0,0,1
"Sample.29",0,0,0,1
"Sample.30",0,0,0,1
"Sample.31",1,0,0,0
"Sample.32",1,0,0,0
"Sample.33",1,0,0,0
"Sample.34",1,0,0,0
"Sample.35",1,0,0,0
"Sample.36",1,0,0,0
"Sample.37",1,0,0,0
"Sample.38",1,0,0,0
"Sample.39",1,0,0,0
"Sample.40",1,0,0,0
